name;id;is_in_set;release_year;number_bricklink_collections;in_books;in_sets;state;amount;purchase_date;price;note;polybag_name;part_of_my_set;theme;is_set
Royal Guard with Black Hands;sw0040b;-;2006-2009;448;0;2;-;1;26.07.2024;85;1 cost 150, 1 has missing cup;-;-;Star Wars;0
General Grievous - Bent Legs, Tan Armor;sw0254;-;2010-2012;680;0;2;New;1;28.07.2024;497;-;-;-;Star Wars;0
General Grievous - Bent Legs, White Armor;sw0515;-;2014-2020;1198;0;3;New;1;01.01.1900;0;-;-;-;Star Wars;0
Chewbacca - Medium Nougat Fur;sw0532;-;2014-2024;2527;0;19;New;1;01.01.1900;0;-;Chewbacca paper bag;in Millennium Falcon -  75105;Star Wars;0
Tusken Raider - Head Spikes, Crossed Belts;sw0620;-;2015-2018;729;0;3;New;1;01.01.1900;0;-;-;-;Star Wars;0
Han Solo, Dark Blue Legs, Vest with Pockets, Wavy Hair;sw0771;-;2016-2021;1250;0;4;New;1;01.01.1900;0;-;-;in Millennium Falcon Microfighter;Star Wars;0
Pao - without Sticker on Backpack;sw0798;-;2016;203;0;1;New;1;02.09.2024;370;-;-;-;Star Wars;0
Darth Maul - Horns, Printed Legs, Open Mouth;sw0808;-;2017-2019;698;0;2;Used;1;01.01.1900;0;-;-;in Sith Infiltrator Microfighter;Star Wars;0
Wookiee Warrior, Printed Legs;sw1028;-;2019;341;0;1;New;1;02.09.2024;175;-;-;-;Star Wars;0
Mandalorian Tribe Warrior - Female, Dark Brown Cape, Green Helmet with Antenna / Rangefinder;sw1078;-;2020-2021;1529;0;2;New;1;31.07.2024;90;-;-;-;Star Wars;0
Mandalorian Tribe Warrior - Male, Olive Green Cape, Dark Azure Helmet;sw1080;-;2020;1457;0;1;New;1;01.01.1900;0;-;-;-;Star Wars;0
AT-AT Driver - Dark Red Imperial Logo, Cheek Lines, Frown;sw1104;-;2020 - 2021;1004;0;3;New;1;02.09.2024;201;-;-;-;Star Wars;0
Darth Vader - Printed Arms, Traditional Starched Fabric Cape;sw1112;-;2020-2021;285;0;2;New;1;01.01.1900;0;-;-;-;Star Wars;0
Din Grogu / The Child / 'Baby Yoda';sw1113;-;2020-2024;2517;0;9;Opened, Kids;1;16.08.2024;60;-;Golden Dragon Jay paper bag;-;Star Wars;0
The Mandalorian / Din Djarin / 'Mando' - Silver Beskar Armor, Cape;sw1135;-;2021-2022;1702;0;3;New;1;16.08.2024;80;-;Vangelis paper bag;-;Star Wars;0
Luke Skywalker (Hoth, Balaclava Head);sw1143;-;2021-2023;1092;0;1;New;1;21.07.2024;30;3 trophies;-;-;Star Wars;0
Greef Karga - Black Magistrate Robe and Gray Beard;sw1156;-;2021-2023;915;4;1;New;1;01.01.1900;0;-;book;-;Star Wars;0
Dark Trooper;sw1161;-;2021-2022;1505;0;2;New;1;26.08.2024;101;-;-;-;Star Wars;0
Bo-Katan Kryze;sw1163;-;2021-2023;1389;0;2;New;1;01.01.1900;0;1 has access.;Bo-Katan Kryze paper bag;-;Star Wars;0
The Mandalorian / Din Djarin / 'Mando' - Silver Beskar Armor, Jet Pack;sw1166;-;2021-2020;1223;0;2;New;1;01.01.1900;0;-;-;-;Star Wars;0
Snowtrooper - Female, Printed Legs, Dark Tan Hands, Light Nougat Head, Angry Smile;sw1178;-;2021-2023;1365;0;3;New;1;01.01.1900;0;-;-;in Snowtrooper Battle Pack;Star Wars;0
Snowtrooper - Male, Printed Legs, Dark Tan Hands, Reddish Brown Head, Grimace;sw1179;-;2021-2023;1267;0;2;New;1;01.01.1900;0;-;-;in Snowtrooper Battle Pack;Star Wars;0
Snowtrooper, Printed Legs, Dark Tan Hands, Cheek Lines, Lopsided Grin;sw1181;-;2021-2023;1208;0;2;New;3;26.08.2024;204;-;-;also in Snowtrooper Battle Pack;Star Wars;0
Imperial Scout Trooper, Hoth - Female, Dual Molded Helmet, Nougat Head, Smirk;sw1182;-;2022-2023;1318;0;1;New;1;01.01.1900;0;-;-;in Snowtrooper Battle Pack;Star Wars;0
Astromech Droid, R2-D2, Flat Silver Head, Dark Pink Dots, Large Receptor, Back Printing;sw1202;-;2022-2024;922;0;5;Used;1;01.01.1900;0;-;-;in Yoda's Jedi Starfighter;Star Wars;0
Imperial AT-ST Driver - Helmet with Molded Goggles, Light Bluish Gray Jumpsuit, Plain Legs;sw1217;-;2022;337;0;1;New;1;26.08.2024;66;-;-;-;Star Wars;0
